case_id,factor,factor_level,seed,method,comparison_protocol,threshold_scale,target_detected,background_Pfa
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener [scientific controlled],scientific_controlled,0.75,1.0,0.002108936428463056
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener [scientific controlled],scientific_controlled,1.0,1.0,0.00045706266120467304
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener [scientific controlled],scientific_controlled,1.5,1.0,1.8965255651646184e-06
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener [scientific controlled],scientific_controlled,2.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener [scientific controlled],scientific_controlled,3.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener [scientific controlled],scientific_controlled,5.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,0.5,1.0,0.009272113488089819
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,0.75,1.0,0.002112729479593385
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,1.0,1.0,0.0004551661356395084
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,1.5,1.0,1.8965255651646184e-06
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,2.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,3.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,5.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR global,scientific_controlled,0.5,1.0,0.011269154908208163
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR global,scientific_controlled,0.75,1.0,0.006347671066605978
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR global,scientific_controlled,1.0,1.0,0.004344940069792141
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR global,scientific_controlled,1.5,1.0,0.002564102564102564
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR global,scientific_controlled,2.0,1.0,0.001566530116825975
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR global,scientific_controlled,3.0,1.0,0.0006922318312850858
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR global,scientific_controlled,5.0,1.0,0.00021241086329843727
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR local,scientific_controlled,0.5,1.0,0.011246396601426187
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR local,scientific_controlled,0.75,1.0,0.006357153694431801
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR local,scientific_controlled,1.0,1.0,0.0045990744955242
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR local,scientific_controlled,1.5,1.0,0.0027746169018358366
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR local,scientific_controlled,2.0,1.0,0.0018623881049916553
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR local,scientific_controlled,3.0,1.0,0.0008970565923228645
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,DL-SMI/MVDR local,scientific_controlled,5.0,1.0,0.00029206493703535125
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR global,scientific_controlled,0.5,1.0,0.01125208617812168
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR global,scientific_controlled,0.75,1.0,0.006338188438780154
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR global,scientific_controlled,1.0,1.0,0.004386663632225762
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Shrinkage-SMI/MVDR global,scientific_controlled,1.5,1.0,0.0025906539220148686
