split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode,oracle_lambda
test_v3,test_v3_012,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.0048962956114398425,2542,47,47,519168,1e-06,dynamic,
test_v3,test_v3_012,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.004603519477317554,2390,46,46,519168,1e-06,dynamic,0.0
test_v3,test_v3_012,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.0048962956114398425,2542,47,47,519168,1e-06,dynamic,0.0
test_v3,test_v3_013,target_off,J0_Current,measured,0.012708795611439842,6598,30,30,519168,1e-06,dynamic,
test_v3,test_v3_013,target_on,J0_Current,measured,0.012681829388560158,6584,29,29,519168,1e-06,dynamic,
test_v3,test_v3_013,target_off,J5_Selective_Physics_Calibration,measured,0.01257396449704142,6528,26,26,519168,1e-06,dynamic,
test_v3,test_v3_013,target_on,J5_Selective_Physics_Calibration,measured,0.012562407544378698,6522,26,26,519168,1e-06,dynamic,
test_v3,test_v3_013,target_off,J6_Joint_Phase_Surface,measured,0.012589373767258383,6536,27,27,519168,1e-06,dynamic,
test_v3,test_v3_013,target_on,J6_Joint_Phase_Surface,measured,0.0125720383382643,6527,26,26,519168,1e-06,dynamic,
test_v3,test_v3_013,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.012708795611439842,6598,30,30,519168,1e-06,dynamic,
test_v3,test_v3_013,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.012681829388560158,6584,29,29,519168,1e-06,dynamic,
test_v3,test_v3_013,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.012708795611439842,6598,30,30,519168,1e-06,dynamic,0.0
test_v3,test_v3_013,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.012681829388560158,6584,29,29,519168,1e-06,dynamic,0.0
test_v3,test_v3_014,target_off,J0_Current,measured,0.011911365877712032,6184,45,45,519168,1e-06,dynamic,
test_v3,test_v3_014,target_on,J0_Current,measured,0.011932553624260355,6195,46,46,519168,1e-06,dynamic,
test_v3,test_v3_014,target_off,J5_Selective_Physics_Calibration,measured,0.01190558740138067,6181,44,44,519168,1e-06,dynamic,
test_v3,test_v3_014,target_on,J5_Selective_Physics_Calibration,measured,0.011919070512820512,6188,45,45,519168,1e-06,dynamic,
test_v3,test_v3_014,target_off,J6_Joint_Phase_Surface,measured,0.011919070512820512,6188,44,44,519168,1e-06,dynamic,
test_v3,test_v3_014,target_on,J6_Joint_Phase_Surface,measured,0.011934479783037475,6196,45,45,519168,1e-06,dynamic,
test_v3,test_v3_014,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.011919070512820512,6188,44,44,519168,1e-06,dynamic,
test_v3,test_v3_014,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.011934479783037475,6196,45,45,519168,1e-06,dynamic,
test_v3,test_v3_014,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.011911365877712032,6184,45,45,519168,1e-06,dynamic,0.0
test_v3,test_v3_014,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.011932553624260355,6195,46,46,519168,1e-06,dynamic,0.0
test_v3,test_v3_015,target_off,J0_Current,measured,0.010823086168639053,5619,34,34,519168,1e-06,dynamic,
test_v3,test_v3_015,target_on,J0_Current,measured,0.010813455374753452,5614,34,34,519168,1e-06,dynamic,
