split,scene_id,actual_mechanism,role,method,branch,active,fallback,current_cancellation_db,deterministic_cancellation_db,oracle_cancellation_db,fallback_opportunity_cost_db,recoverable_headroom_db,deterministic_gain_db,remaining_gap_db,recovery_ratio
test,test_049,M2+M3,target_off,J1_D3_delay_only,,False,True,4.54184179202608,4.54184179202608,4.0902632619796,-0.4515785300464801,-0.4515785300464801,0.0,-0.4515785300464801,
test,test_049,M2+M3,target_off,J2_P1_phase_only,,True,False,4.54184179202608,4.54786160528285,4.0902632619796,0.0,-0.4515785300464801,0.006019813256769702,-0.4575983433032498,
test,test_049,M2+M3,target_off,J3_D3_P1_joint,,True,False,4.54184179202608,4.54786160528285,4.0902632619796,0.0,-0.4515785300464801,0.006019813256769702,-0.4575983433032498,
test,test_049,M2+M3,target_off,J4_D3_P2_joint,,True,False,4.54184179202608,4.54796907683077,4.0902632619796,0.0,-0.4515785300464801,0.0061272848046902695,-0.45770581485117035,
test,test_049,M2+M3,target_off,J5_Selective_Physics_Calibration,D0P1,True,False,4.54184179202608,4.54786160528285,4.0902632619796,0.0,-0.4515785300464801,0.006019813256769702,-0.4575983433032498,
test,test_049,M2+M3,target_off,J6_Joint_Phase_Surface,D0P1,True,False,4.54184179202608,4.07946523483274,4.0902632619796,0.0,-0.4515785300464801,-0.46237655719334025,0.010798027146860179,
test,test_049,M2+M3,target_on,J0_Current,,False,True,4.49881205209402,4.49881205209402,4.00023086629283,-0.49858118580119015,-0.49858118580119015,0.0,-0.49858118580119015,
test,test_049,M2+M3,target_on,J1_D3_delay_only,,False,True,4.49881205209402,4.49881205209402,4.00023086629283,-0.49858118580119015,-0.49858118580119015,0.0,-0.49858118580119015,
test,test_049,M2+M3,target_on,J2_P1_phase_only,,True,False,4.49881205209402,4.49323494800093,4.00023086629283,0.0,-0.49858118580119015,-0.0055771040930894245,-0.4930040817081007,
test,test_049,M2+M3,target_on,J3_D3_P1_joint,,True,False,4.49881205209402,4.49323494800093,4.00023086629283,0.0,-0.49858118580119015,-0.0055771040930894245,-0.4930040817081007,
test,test_049,M2+M3,target_on,J4_D3_P2_joint,,True,False,4.49881205209402,4.49334067126649,4.00023086629283,0.0,-0.49858118580119015,-0.005471380827529515,-0.49310980497366064,
test,test_049,M2+M3,target_on,J5_Selective_Physics_Calibration,D0P1,True,False,4.49881205209402,4.49323494800093,4.00023086629283,0.0,-0.49858118580119015,-0.0055771040930894245,-0.4930040817081007,
test,test_049,M2+M3,target_on,J6_Joint_Phase_Surface,D0P1,True,False,4.49881205209402,4.00860152185782,4.00023086629283,0.0,-0.49858118580119015,-0.4902105302362001,-0.00837065556499006,
test,test_050,M2+M3,target_off,J0_Current,,False,True,5.4440119996974,5.4440119996974,5.48226607072453,0.03825407102713019,0.03825407102713019,0.0,0.03825407102713019,0.0
test,test_050,M2+M3,target_off,J1_D3_delay_only,,False,True,5.4440119996974,5.4440119996974,5.48226607072453,0.03825407102713019,0.03825407102713019,0.0,0.03825407102713019,0.0
test,test_050,M2+M3,target_off,J2_P1_phase_only,,True,False,5.4440119996974,5.44257162306973,5.48226607072453,0.0,0.03825407102713019,-0.001440376627670048,0.039694447654800236,-0.03765289782226101
test,test_050,M2+M3,target_off,J3_D3_P1_joint,,True,False,5.4440119996974,5.44257162306973,5.48226607072453,0.0,0.03825407102713019,-0.001440376627670048,0.039694447654800236,-0.03765289782226101
test,test_050,M2+M3,target_off,J4_D3_P2_joint,,True,False,5.4440119996974,5.44257173020753,5.48226607072453,0.0,0.03825407102713019,-0.001440269489870083,0.03969434051700027,-0.03765009713210991
test,test_050,M2+M3,target_off,J5_Selective_Physics_Calibration,D0P1,True,False,5.4440119996974,5.44257162306973,5.48226607072453,0.0,0.03825407102713019,-0.001440376627670048,0.039694447654800236,-0.03765289782226101
test,test_050,M2+M3,target_off,J6_Joint_Phase_Surface,D0P0,False,False,5.4440119996974,5.4440119996974,5.48226607072453,0.0,0.03825407102713019,0.0,0.03825407102713019,0.0
test,test_050,M2+M3,target_on,J0_Current,,False,True,5.44263021081972,5.44263021081972,5.4805260318312,0.037895821011479924,0.037895821011479924,0.0,0.037895821011479924,0.0
test,test_050,M2+M3,target_on,J1_D3_delay_only,,False,True,5.44263021081972,5.44263021081972,5.4805260318312,0.037895821011479924,0.037895821011479924,0.0,0.037895821011479924,0.0
test,test_050,M2+M3,target_on,J2_P1_phase_only,,True,False,5.44263021081972,5.44118743484247,5.4805260318312,0.0,0.037895821011479924,-0.001442775977250399,0.03933859698873032,-0.038072165709599835
test,test_050,M2+M3,target_on,J3_D3_P1_joint,,True,False,5.44263021081972,5.44118743484247,5.4805260318312,0.0,0.037895821011479924,-0.001442775977250399,0.03933859698873032,-0.038072165709599835
test,test_050,M2+M3,target_on,J4_D3_P2_joint,,True,False,5.44263021081972,5.44118746532033,5.4805260318312,0.0,0.037895821011479924,-0.0014427454993901634,0.03933856651087009,-0.038071361455742234
test,test_050,M2+M3,target_on,J5_Selective_Physics_Calibration,D0P1,True,False,5.44263021081972,5.44118743484247,5.4805260318312,0.0,0.037895821011479924,-0.001442775977250399,0.03933859698873032,-0.038072165709599835
test,test_050,M2+M3,target_on,J6_Joint_Phase_Surface,D0P0,False,False,5.44263021081972,5.44263021081972,5.4805260318312,0.0,0.037895821011479924,0.0,0.037895821011479924,0.0
test,test_051,M2+M3,target_off,J0_Current,,False,True,5.27694341888158,5.27694341888158,5.82004047602806,0.5430970571464799,0.5430970571464799,0.0,0.5430970571464799,0.0
test,test_051,M2+M3,target_off,J1_D3_delay_only,,False,True,5.27694341888158,5.27694341888158,5.82004047602806,0.5430970571464799,0.5430970571464799,0.0,0.5430970571464799,0.0
test,test_051,M2+M3,target_off,J2_P1_phase_only,,True,False,5.27694341888158,5.29217671124051,5.82004047602806,0.0,0.5430970571464799,0.01523329235892934,0.5278637647875506,0.028048931877789084
test,test_051,M2+M3,target_off,J3_D3_P1_joint,,True,False,5.27694341888158,5.29217671124051,5.82004047602806,0.0,0.5430970571464799,0.01523329235892934,0.5278637647875506,0.028048931877789084
test,test_051,M2+M3,target_off,J4_D3_P2_joint,,True,False,5.27694341888158,5.29218853936409,5.82004047602806,0.0,0.5430970571464799,0.015245120482509478,0.5278519366639705,0.02807071090130706
test,test_051,M2+M3,target_off,J5_Selective_Physics_Calibration,D0P1,True,False,5.27694341888158,5.29217671124051,5.82004047602806,0.0,0.5430970571464799,0.01523329235892934,0.5278637647875506,0.028048931877789084
test,test_051,M2+M3,target_off,J6_Joint_Phase_Surface,D0P1,True,False,5.27694341888158,5.82756166778879,5.82004047602806,0.0,0.5430970571464799,0.5506182489072096,-0.007521191760729629,1.0138487065281612
test,test_051,M2+M3,target_on,J0_Current,,False,True,5.27700738704287,5.27700738704287,5.820167774559,0.5431603875161297,0.5431603875161297,0.0,0.5431603875161297,0.0
test,test_051,M2+M3,target_on,J1_D3_delay_only,,False,True,5.27700738704287,5.27700738704287,5.820167774559,0.5431603875161297,0.5431603875161297,0.0,0.5431603875161297,0.0
test,test_051,M2+M3,target_on,J2_P1_phase_only,,True,False,5.27700738704287,5.29198453532064,5.820167774559,0.0,0.5431603875161297,0.014977148277769636,0.5281832392383601,0.02757408055152931
test,test_051,M2+M3,target_on,J3_D3_P1_joint,,True,False,5.27700738704287,5.29198453532064,5.820167774559,0.0,0.5431603875161297,0.014977148277769636,0.5281832392383601,0.02757408055152931
test,test_051,M2+M3,target_on,J4_D3_P2_joint,,True,False,5.27700738704287,5.29199716335894,5.820167774559,0.0,0.5431603875161297,0.014989776316070014,0.5281706112000597,0.0275973297401495
test,test_051,M2+M3,target_on,J5_Selective_Physics_Calibration,D0P1,True,False,5.27700738704287,5.29198453532064,5.820167774559,0.0,0.5431603875161297,0.014977148277769636,0.5281832392383601,0.02757408055152931
test,test_051,M2+M3,target_on,J6_Joint_Phase_Surface,D0P1,True,False,5.27700738704287,5.82733597324953,5.820167774559,0.0,0.5431603875161297,0.5503285862066596,-0.00716819869052987,1.0131972044635102
test,test_052,M2+M3,target_off,J0_Current,,False,True,8.1452736246937,8.1452736246937,8.18121620060359,0.03594257590988903,0.03594257590988903,0.0,0.03594257590988903,0.0
test,test_052,M2+M3,target_off,J1_D3_delay_only,,False,True,8.1452736246937,8.1452736246937,8.18121620060359,0.03594257590988903,0.03594257590988903,0.0,0.03594257590988903,0.0
test,test_052,M2+M3,target_off,J2_P1_phase_only,,True,False,8.1452736246937,8.14666870179913,8.18121620060359,0.0,0.03594257590988903,0.001395077105430076,0.034547498804458954,0.03881405464448759
test,test_052,M2+M3,target_off,J3_D3_P1_joint,,True,False,8.1452736246937,8.14666870179913,8.18121620060359,0.0,0.03594257590988903,0.001395077105430076,0.034547498804458954,0.03881405464448759
test,test_052,M2+M3,target_off,J4_D3_P2_joint,,True,False,8.1452736246937,8.14667033185548,8.18121620060359,0.0,0.03594257590988903,0.0013967071617795312,0.0345458687481095,0.03885940632861679
test,test_052,M2+M3,target_off,J5_Selective_Physics_Calibration,D0P1,True,False,8.1452736246937,8.14666870179913,8.18121620060359,0.0,0.03594257590988903,0.001395077105430076,0.034547498804458954,0.03881405464448759
test,test_052,M2+M3,target_off,J6_Joint_Phase_Surface,D0P0,False,False,8.1452736246937,8.1452736246937,8.18121620060359,0.0,0.03594257590988903,0.0,0.03594257590988903,0.0
test,test_052,M2+M3,target_on,J0_Current,,False,True,8.14671902599515,8.14671902599515,8.1823782783825,0.03565925238734913,0.03565925238734913,0.0,0.03565925238734913,0.0
test,test_052,M2+M3,target_on,J1_D3_delay_only,,False,True,8.14671902599515,8.14671902599515,8.1823782783825,0.03565925238734913,0.03565925238734913,0.0,0.03565925238734913,0.0
test,test_052,M2+M3,target_on,J2_P1_phase_only,,True,False,8.14671902599515,8.14811653380147,8.1823782783825,0.0,0.03565925238734913,0.0013975078063204194,0.03426174458102871,0.03919060868522905
test,test_052,M2+M3,target_on,J3_D3_P1_joint,,True,False,8.14671902599515,8.14811653380147,8.1823782783825,0.0,0.03565925238734913,0.0013975078063204194,0.03426174458102871,0.03919060868522905
test,test_052,M2+M3,target_on,J4_D3_P2_joint,,True,False,8.14671902599515,8.14811806636168,8.1823782783825,0.0,0.03565925238734913,0.0013990403665307127,0.034260212020818415,0.03923358659720673
test,test_052,M2+M3,target_on,J5_Selective_Physics_Calibration,D0P1,True,False,8.14671902599515,8.14811653380147,8.1823782783825,0.0,0.03565925238734913,0.0013975078063204194,0.03426174458102871,0.03919060868522905
test,test_052,M2+M3,target_on,J6_Joint_Phase_Surface,D0P0,False,False,8.14671902599515,8.14671902599515,8.1823782783825,0.0,0.03565925238734913,0.0,0.03565925238734913,0.0
test,test_053,M2+M3,target_off,J0_Current,,False,True,6.90962485337766,6.90962485337766,7.0212368978557,0.11161204447803996,0.11161204447803996,0.0,0.11161204447803996,0.0
test,test_053,M2+M3,target_off,J1_D3_delay_only,,False,True,6.90962485337766,6.90962485337766,7.0212368978557,0.11161204447803996,0.11161204447803996,0.0,0.11161204447803996,0.0
test,test_053,M2+M3,target_off,J2_P1_phase_only,,True,False,6.90962485337766,6.91399270004535,7.0212368978557,0.0,0.11161204447803996,0.004367846667689967,0.10724419781035,0.0391341874267822
test,test_053,M2+M3,target_off,J3_D3_P1_joint,,True,False,6.90962485337766,6.91399270004535,7.0212368978557,0.0,0.11161204447803996,0.004367846667689967,0.10724419781035,0.0391341874267822
test,test_053,M2+M3,target_off,J4_D3_P2_joint,,True,False,6.90962485337766,6.91415680098736,7.0212368978557,0.0,0.11161204447803996,0.004531947609700104,0.10708009686833986,0.040604467294672486
test,test_053,M2+M3,target_off,J5_Selective_Physics_Calibration,D0P1,True,False,6.90962485337766,6.91399270004535,7.0212368978557,0.0,0.11161204447803996,0.004367846667689967,0.10724419781035,0.0391341874267822
test,test_053,M2+M3,target_off,J6_Joint_Phase_Surface,D0P0,False,False,6.90962485337766,6.90962485337766,7.0212368978557,0.0,0.11161204447803996,0.0,0.11161204447803996,0.0
test,test_053,M2+M3,target_on,J0_Current,,False,True,6.9094948922864,6.9094948922864,7.02119341628832,0.11169852400191971,0.11169852400191971,0.0,0.11169852400191971,0.0
test,test_053,M2+M3,target_on,J1_D3_delay_only,,False,True,6.9094948922864,6.9094948922864,7.02119341628832,0.11169852400191971,0.11169852400191971,0.0,0.11169852400191971,0.0
