scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,condition,role,metric,value,status,denominator,definition
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,velocity_rmse_mps_ground_speed,1.8373279492489694,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,angle_rmse_deg,0.029930681907164348,passed,,angle_rmse_deg; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,false_track_count,292.0,passed,,false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,unique_false_track_count,292.0,passed,,unique_false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_id_switch_count,2.0,passed,,track_id_switch_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m2ns,high_velocity,101,-2.0,12.0,30.0,A0_Ideal,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m2ns,high_velocity,101,-2.0,12.0,30.0,A0_Ideal,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m2ns,high_velocity,101,-2.0,12.0,30.0,A0_Ideal,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m2ns,high_velocity,101,-2.0,12.0,30.0,A0_Ideal,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m2ns,high_velocity,101,-2.0,12.0,30.0,A0_Ideal,ON,position_rmse_m,67.21598545705629,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m2ns,high_velocity,101,-2.0,12.0,30.0,A0_Ideal,ON,velocity_rmse_mps_ground_speed,5.188652454301404,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m2ns,high_velocity,101,-2.0,12.0,30.0,A0_Ideal,ON,angle_rmse_deg,0.023815178451899392,passed,,angle_rmse_deg; lower values are better; transformed_value=-value for recovery
