scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,level,method,status,estimate_ns,truth_ns,error_ns,runtime_sec,fallback_reason,snr_db,bias_ns,rmse_ns,std_ns,ci95_low_ns,ci95_high_ns,outlier_rate,fallback_rate,fallback_count,finite_estimate_count,trials,mean_runtime_sec,random_seed_namespace,sampling_rate_hz,bandwidth_hz,pulse_samples
base__seed_101__v_p12__snr_p30__delay_p0ns,base,101,0.0,12.0,30.0,level2,D2_weighted_LS,ok,-0.007020225075362978,0.0,-0.007020225075362978,0.00013402602053247392,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p0ns,base,101,0.0,12.0,30.0,level2,D3_Huber_weighted_LS,ok,-0.028130307937299665,0.0,-0.028130307937299665,0.001315605011768639,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p0ns,base,101,0.0,12.0,30.0,level2,cross_correlation,ok,-0.02662150568326747,0.0,-0.02662150568326747,1.5593422949896194,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p0ns,base,101,0.0,12.0,30.0,level2,gcc_phat,ok,-0.02412623344305109,0.0,-0.02412623344305109,1.8378394230094273,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p1ns,base,101,1.0,12.0,30.0,level2,D1_ordinary_LS,ok,0.8610374147365133,1.0,-0.1389625852634867,0.0020457279752008617,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p1ns,base,101,1.0,12.0,30.0,level2,D2_weighted_LS,ok,0.8812875822992559,1.0,-0.11871241770074414,0.00014589898637495935,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p1ns,base,101,1.0,12.0,30.0,level2,D3_Huber_weighted_LS,ok,0.8639455192566396,1.0,-0.13605448074336035,0.003042366006411612,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p1ns,base,101,1.0,12.0,30.0,level2,cross_correlation,ok,0.20170346627866306,1.0,-0.7982965337213369,1.5568786110088695,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p1ns,base,101,1.0,12.0,30.0,level2,gcc_phat,ok,0.07171552122068187,1.0,-0.9282844787793181,1.9396599190076813,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_m1ns,base,101,-1.0,12.0,30.0,level2,D1_ordinary_LS,ok,0.0788048195392907,-1.0,1.0788048195392907,0.00019031798001378775,,,,,,,,,,,,,,,,,
