method,dimension,level,count,mean,median,p05,p10,p90,min,cvar5,fraction_lt_neg_0_1,fraction_lt_neg_0_5,fraction_lt_neg_1_0
J5_Selective_Physics_Calibration,texture,0.59,1,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.017160911187239947,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.61,1,0.004367846667689967,0.004367846667689967,0.004367846667689967,0.004367846667689967,0.004367846667689967,0.004367846667689967,0.004367846667689967,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.64,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.65,1,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.006019813256769702,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.66,1,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.01523329235892934,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.69,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.71,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.72,1,0.00960212441717001,0.00960212441717001,0.00960212441717001,0.00960212441717001,0.00960212441717001,0.00960212441717001,0.00960212441717001,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.73,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.75,1,-0.039577631391039425,-0.039577631391039425,-0.039577631391039425,-0.039577631391039425,-0.039577631391039425,-0.039577631391039425,-0.039577631391039425,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.76,1,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.07993795045260921,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.78,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.79,1,0.0021909084748195085,0.0021909084748195085,0.0021909084748195085,0.0021909084748195085,0.0021909084748195085,0.0021909084748195085,0.0021909084748195085,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.8,1,0.013004874429940472,0.013004874429940472,0.013004874429940472,0.013004874429940472,0.013004874429940472,0.013004874429940472,0.013004874429940472,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.82,1,0.07637972312858032,0.07637972312858032,0.07637972312858032,0.07637972312858032,0.07637972312858032,0.07637972312858032,0.07637972312858032,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.85,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.87,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.92,1,-0.008155298687140267,-0.008155298687140267,-0.008155298687140267,-0.008155298687140267,-0.008155298687140267,-0.008155298687140267,-0.008155298687140267,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.93,1,-0.07185563339680989,-0.07185563339680989,-0.07185563339680989,-0.07185563339680989,-0.07185563339680989,-0.07185563339680989,-0.07185563339680989,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.94,1,0.0007669167260093701,0.0007669167260093701,0.0007669167260093701,0.0007669167260093701,0.0007669167260093701,0.0007669167260093701,0.0007669167260093701,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,1,1,0.010781491954899636,0.010781491954899636,0.010781491954899636,0.010781491954899636,0.010781491954899636,0.010781491954899636,0.010781491954899636,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,1.01,1,-0.00013222546129032509,-0.00013222546129032509,-0.00013222546129032509,-0.00013222546129032509,-0.00013222546129032509,-0.00013222546129032509,-0.00013222546129032509,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,1.03,1,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,1.04,1,0.26743680572108985,0.26743680572108985,0.26743680572108985,0.26743680572108985,0.26743680572108985,0.26743680572108985,0.26743680572108985,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.46,1,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.5,1,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0,0.0,0.0
J5_Selective_Physics_Calibration,rho,0.51,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
